Player,Team,Position,Mean,Standard Deviation,FPPM
J.R. Smith,5.0,blue,17.1487804878,7.535320894,0.586852928815
JaMychal Green,14.0,purple,20.3025974026,8.45375927007,0.732192588304
JaVale McGee,9.0,yellow,12.5902777778,7.47491880821,1.21532987911
Jabari Parker,16.0,purple,33.3,10.4661549769,0.978191468962
Jae Crowder,1.0,green,26.6666666667,7.8203778591,0.828885098966
Jahlil Okafor,22.0,yellow,20.24,9.22127088501,0.875723748607
Jake Layman,24.0,green,5.65,6.17927813429,0.704878370321
Jakob Poeltl,27.0,yellow,9.05,6.34879589389,0.693018047294
Jamal Crawford,12.0,blue,18.9975609756,9.28539242554,0.710843864587
Jamal Murray,7.0,blue,17.4975308642,9.48747826491,0.782458322525
Jameer Nelson,7.0,red,20.5853333333,9.9304023126,0.737096262374
James Ennis,14.0,green,15.2213114754,7.50062474629,0.613504908424
James Harden,10.0,red,55.4604938272,12.5683698129,1.52289611411
James Johnson,15.0,purple,26.7986842105,9.96523949765,0.970348648094
James Jones,5.0,green,7.196875,5.96568057794,1.01929020983
James Michael McAdoo,9.0,purple,8.24761904762,6.87371231738,0.807626404673
James Young,1.0,blue,5.76363636364,6.07128647656,0.564396006639
Jared Dudley,23.0,purple,15.5209677419,8.62670533574,0.670893984958
Jared Sullinger,27.0,purple,8.91111111111,7.05964667042,0.705735043254
Jarell Eddie,23.0,green,10.0,6.60908465674,0.672053539725
Jarell Martin,14.0,purple,10.3657894737,6.73623827642,0.730016309644
Jarnell Stokes,7.0,yellow,9.4,,1.63953488372
Jarrett Jack,18.0,red,12.0,,0.474620962426
Jarrod Uthoff,6.0,purple,11.3,8.01623352953,1.07448500647
Jason Smith,29.0,yellow,12.2109589041,7.96922137636,0.82416355641
Jason Terry,16.0,blue,9.69166666667,5.80157215215,0.502293918368
Jaylen Brown,1.0,green,12.2671052632,7.89375091504,0.653904914406
Jeff Green,21.0,purple,15.4753623188,7.12871999477,0.695250358183
Jeff Teague,11.0,red,32.9451219512,9.79126787133,1.01031116478
Jeff Withey,28.0,yellow,9.20256410256,5.18827053526,0.980598901625
Jerami Grant,20.0540540541,green,12.6635135135,6.13916997479,0.627696303631
Jeremy Lamb,3.0,blue,17.9483870968,9.19807075166,0.960359869441
Jeremy Lin,2.0,red,28.2222222222,9.69913430927,1.12797394508
Jerian Grant,4.0,red,12.8,9.32594340209,0.704619479399
Jerryd Bayless,22.0,red,19.6333333333,9.12651813855,0.807466104036
Jimmy Butler,4.0,green,42.6578947368,13.0076824803,1.1450800813
Joakim Noah,19.0,yellow,20.5673913043,10.5605777272,0.906279699238
Jodie Meeks,21.0,blue,15.4138888889,8.63640642125,0.732258170422
Joe Harris,2.0,blue,14.4019230769,7.32889768842,0.638899581819
Joe Ingles,28.0,green,17.1543209877,9.05777358658,0.677595934871
Joe Johnson,28.0,green,16.8538461538,8.43176881056,0.687961083415
Joe Young,11.0,red,4.49615384615,5.9706268193,0.903620212487
Joel Anthony,26.0,yellow,8.1625,6.43759882032,0.745859082963
Joel Bolomboy,28.0,purple,5.95714285714,3.56971387409,1.24088327349
Joel Embiid,22.0,yellow,36.2774193548,9.05846600985,1.42972282641
Joffrey Lauvergne,15.2941176471,,11.7588235294,7.84009136935,0.833514389735
John Henson,16.0,yellow,17.6035714286,8.32306683612,0.869604008585
John Jenkins,23.0,blue,2.55,1.70587221092,0.699909183005
John Lucas III,17.0,red,7.5,,1.2
John Wall,29.0,red,45.8615384615,9.12112192303,1.26808066371
Johnny O'Bryant,5.4,purple,6.73,6.68778147465,0.788705574908
Jon Leuer,8.0,purple,20.0932432432,8.41755066515,0.747822028722
Jonas Jerebko,1.0,purple,10.5506666667,5.80322308706,0.645532862417
Jonas Valanciunas,27.0,yellow,25.6225,8.92062004713,0.988324167438
Jonathan Gibson,6.0,red,12.9923076923,10.125994728,0.705587140503
Jonathon Simmons,26.0,blue,13.3101449275,6.71528425502,0.686778665189
Jordan Clarkson,13.0,blue,23.2463414634,8.67430141097,0.795665219817
Jordan Crawford,18.0,blue,21.7263157895,6.18796700642,0.935573171458
Jordan Farmar,25.0,red,16.05,13.2228968082,0.826795354677
Jordan Hill,17.0,yellow,5.3,4.9705801137,0.6251224443
Jordan McRae,5.0,blue,9.33928571429,6.72872996028,0.810207391204
Jordan Mickey,1.0,purple,5.45294117647,3.38565312146,0.914364806984
Jose Calderon,7.37837837838,red,9.36216216216,6.95600071492,0.655592872895
Josh Huestis,20.0,purple,18.15,6.15182899632,1.47117130751
Josh McRoberts,15.0,purple,12.8318181818,5.98429582631,0.765439166223
Josh Richardson,15.0,blue,21.1528301887,9.63504428503,0.670671864765
Jrue Holiday,18.0,red,33.1611940299,10.4125500504,1.01560322363
Juan Hernangomez,7.0,purple,12.604,8.89712083675,0.823720913386
Julius Randle,13.0,purple,28.9418918919,10.5854773448,0.994005283803
Justin Anderson,11.2571428571,green,14.4342857143,9.14633843023,0.886517079414
Justin Hamilton,2.0,yellow,15.3555555556,7.92769294386,0.81376599551
Justin Harper,22.0,purple,6.0,6.35924523823,0.624717502728
Justin Holiday,19.0,blue,14.9573170732,8.41868923975,0.719906872093
Justise Winslow,15.0,green,24.5722222222,9.29134990228,0.69955261969
Jusuf Nurkic,12.2307692308,yellow,23.26,14.5857613483,1.03287330761
K.J. McDaniels,6.51282051282,green,9.51282051282,7.34154446001,0.836906778708
Karl-Anthony Towns,17.0,yellow,45.8036585366,10.7467531143,1.23738957958
Kawhi Leonard,26.0,green,41.75,10.8336392651,1.24916673174
Kay Felder,5.0,red,8.77222222222,6.94528045761,0.912027496007
Kelly Olynyk,1.0,yellow,18.8693333333,9.00325726842,0.900789634388
Kelly Oubre,29.0,green,13.2513157895,8.02305832662,0.681723131142
Kemba Walker,3.0,red,38.1848101266,10.31659217,1.10266485188
Kenneth Faried,7.0,purple,22.1416666667,10.9236842929,0.993251901916
Kent Bazemore,0.0,green,21.2424657534,9.08478456004,0.780685467327
Kentavious Caldwell-Pope,8.0,blue,24.3413333333,11.3264948102,0.707481816692
Kevin Durant,9.0,green,46.3080645161,10.771947453,1.3645326473
Kevin Love,5.0,purple,36.895,10.7226107528,1.18098322567
Kevin Seraphin,11.0,purple,10.0152173913,7.73373468474,0.80106447901
Kevon Looney,9.0,yellow,8.04347826087,5.38956407942,0.870053916276
Khris Middleton,16.0,green,26.7448275862,8.66848092669,0.875955478179
Klay Thompson,9.0,blue,32.5897435897,10.1414744406,0.969820038972
Kosta Koufos,25.0,yellow,16.1214285714,7.32385209598,0.7906671616
Kris Dunn,17.0,red,12.0350649351,8.83463230453,0.648385315743
Kris Humphries,0.0,purple,10.9309090909,7.89443950412,0.823022823946
Kristaps Porzingis,19.0,purple,33.3560606061,10.4436234323,1.01046956526
Kyle Anderson,26.0,blue,12.6448275862,9.01291806659,0.755291940349
Kyle Korver,2.61194029851,blue,17.7343283582,8.58189302493,0.678610059114
Kyle Lowry,27.0,red,40.8366666667,9.87460304573,1.09231209161
Kyle O'Quinn,19.0,yellow,17.9756410256,10.6642768874,1.13257775758
Kyle Singler,20.0,green,6.66923076923,6.1907524086,0.498590702878
Kyle Wiltjer,10.0,purple,3.825,4.38854027147,0.995924812609
Kyrie Irving,5.0,red,39.4652777778,10.848588663,1.12902520006
LaMarcus Aldridge,26.0,purple,31.3972222222,8.4678342879,0.977804248927
Lamar Patterson,0.0,blue,6.225,3.4586847211,0.678297973494
Lance Stephenson,15.2352941176,blue,15.6411764706,8.79623047608,0.729653966948
Lance Thomas,19.0,purple,11.8239130435,7.96824767527,0.55068269246
Langston Galloway,19.75,red,14.2541666667,8.86149741091,0.667215548884
Larry Nance Jr.,13.0,purple,19.9344262295,9.0852790316,0.840302651635
Larry Sanders,5.0,yellow,1.6,1.38564064606,0.53714684339
Lavoy Allen,11.0,purple,10.6094339623,7.06587857652,0.686652526752
LeBron James,5.0,green,50.2810810811,10.5144085833,1.33304152867
Leandro Barbosa,23.0,blue,11.121875,7.13903796707,0.724425445135
Lou Williams,12.1481481481,blue,26.4617283951,10.8211957629,1.05689778538
Luc Mbah a Moute,12.0,green,12.0455696203,6.54690761741,0.522639655514
Lucas Nogueira,27.0,yellow,17.5266666667,8.02341459842,0.81316904913
Luis Scola,2.0,purple,12.1382352941,6.9010326283,0.923835256084
Luke Babbitt,15.0,green,9.6625,6.34536451228,0.567851464093
Luol Deng,13.0,green,18.0089285714,8.90832658065,0.664720382068
Malachi Richardson,25.0,blue,6.555,6.28946278352,0.602625975038
Malcolm Brogdon,16.0,blue,21.548,8.69461405202,0.805959858134
Malcolm Delaney,0.0,red,11.3164383562,6.46587223854,0.635851830315
Malik Beasley,7.0,blue,7.24444444444,8.77397369378,1.05754532372
Manny Harris,6.0,blue,4.95,6.32534584035,0.625476318886
Manu Ginobili,26.0,blue,16.2956521739,7.67701755016,0.861145275928
Marc Gasol,14.0,yellow,36.8621621622,10.533322242,1.07309297072
Marcelo Huertas,13.0,red,8.815,6.41185374296,0.842848164493
Marcin Gortat,29.0,yellow,26.4182926829,8.19860162796,0.856003277737
Marco Belinelli,3.0,blue,17.5824324324,7.53970963628,0.71246180525
Marcus Georges-Hunt,21.0,blue,8.43333333333,8.57107538955,0.560015330966
Marcus Morris,8.0,green,24.1797468354,10.0133421218,0.737039153278
Marcus Smart,1.0,blue,24.7215189873,8.11381649878,0.81263338745
Marcus Thornton,29.0,blue,12.2636363636,7.00124177297,0.696741564527
Mario Hezonja,21.0,green,10.6116666667,6.52692186559,0.733645011931
Markieff Morris,29.0,purple,26.2907894737,9.47825831584,0.848767109596
Marquese Chriss,23.0,purple,18.0567901235,9.58330499191,0.820690319729
Marreese Speights,12.0,yellow,16.6658536585,7.95864650557,1.03248541563
Marshall Plumlee,19.0,yellow,9.61818181818,8.45515442577,0.680309188532
Marvin Williams,3.0,purple,24.1052631579,9.02222285599,0.801948819036
Mason Plumlee,18.3333333333,yellow,26.9382716049,9.51578705128,1.00685961858
Matt Barnes,20.6756756757,green,18.4432432432,8.87584938668,0.760730049652
Matthew Dellavedova,16.0,red,17.1236842105,6.97454167519,0.649141343163
Maurice Harkless,24.0,green,20.4181818182,8.82660045533,0.691412109293
Maurice Ndour,19.0,purple,8.29615384615,7.63321587638,0.794940038815
Metta World Peace,13.0,green,6.5,7.38942009983,0.705284164257
Meyers Leonard,24.0,purple,12.2366197183,7.62601261541,0.691751821995
Michael Beasley,16.0,purple,15.8946428571,9.91897024792,0.900413380619
Michael Carter-Williams,4.0,red,16.5547619048,8.7825270651,0.844153785981
Michael Gbinije,8.0,blue,1.34285714286,1.12228508389,0.498699920188
Michael Kidd-Gilchrist,3.0,green,22.8703703704,7.53509197761,0.79363338234
Mike Conley,14.0,red,36.3072463768,10.2613684278,1.09176912437
Mike Dunleavy,2.11538461538,green,10.1980769231,6.22430221097,0.606911848612
Mike Miller,7.0,green,8.5,7.7684547298,0.634710569909
Mike Muscala,0.0,yellow,14.5136363636,7.56585215829,0.774335052009
Mike Scott,0.0,purple,7.22941176471,5.91447004239,0.599880041447
Mike Tobey,3.0,yellow,3.05,3.60624458405,0.262745368211
Miles Plumlee,12.0277777778,yellow,7.73611111111,5.87815975696,0.593694369441
Mindaugas Kuzminskas,19.0,green,11.3492307692,7.92287280357,0.712543967718
Mirza Teletovic,16.0,purple,11.3217391304,7.66928307036,0.652883868304
Monta Ellis,11.0,blue,17.9094594595,8.46140583738,0.650392485371
Montrezl Harrell,10.0,yellow,17.1714285714,9.72089996368,0.871666700751
Myles Turner,11.0,yellow,30.1950617284,9.02885514939,0.971240084712
Nemanja Bjelica,17.0,purple,13.8969230769,9.55245336993,0.71542673949
Nene Hilario,10.0,yellow,17.3641791045,6.97696863698,0.963407636746
Nerlens Noel,15.28,yellow,20.85,9.83736948497,1.02887503144
Nick Collison,20.0,purple,7.96666666667,5.32212363629,0.964248464128
Nick Young,13.0,blue,20.2474576271,8.9190875506,0.756085622668
Nicolas Batum,3.0,blue,32.8402597403,9.38024603734,0.963995960823
Nicolas Brussino,6.0,green,9.27105263158,8.5270922104,0.706292736754
Nicolas Laprovittola,26.0,red,9.0,6.23232044922,0.725847924708
Nik Stauskas,22.0,blue,17.515,7.21210480347,0.635065868881
Nikola Jokic,7.0,yellow,37.0493150685,14.7768599439,1.29533859837
Nikola Mirotic,4.0,purple,21.6828571429,10.6495828513,0.871736731877
Nikola Vucevic,21.0,yellow,33.8306666667,9.98474476028,1.16042155671
Noah Vonleh,24.0,purple,13.40625,7.62043774521,0.751606365999
Norman Powell,27.0,blue,14.3890410959,10.0007577719,0.770599326158
Norris Cole,20.0,red,7.30833333333,6.55985841495,0.759925036353
Okaro White,15.0,purple,8.5275862069,6.83101626782,0.525126092453
Omer Asik,18.0,yellow,12.012,6.4236100961,0.696737119404
Omri Casspi,21.9166666667,green,11.2888888889,6.37970399415,0.626183012541
Otto Porter,29.0,green,27.74125,11.0036782544,0.844980481292
P.J. Tucker,24.2151898734,green,18.9075949367,8.61682212177,0.660199050739
Pascal Siakam,27.0,purple,10.9679245283,6.25006995607,0.715927973133
Pat Connaughton,24.0,blue,8.0125,8.29469775637,0.781096399266
Patricio Garino,21.0,blue,1.35,2.47318957354,0.149247142236
Patrick Beverley,10.0,blue,25.8970149254,8.57964416422,0.846672258271
Patrick McCaw,9.0,blue,9.69166666667,6.65954881321,0.584784073596
Patrick Patterson,27.0,purple,16.0861538462,7.28345464313,0.644293192546
Patty Mills,26.0,red,18.20875,8.24661332482,0.832735213398
Pau Gasol,26.0,yellow,27.39375,8.99299330431,1.07408881662
Paul George,11.0,green,38.8186666667,10.5849292831,1.07721012831
Paul Millsap,0.0,purple,35.4652173913,11.3011038775,1.03517155354
Paul Pierce,12.0,green,7.25714285714,4.27698157917,0.628554138574
Paul Zipser,4.0,green,11.6682926829,8.42283915982,0.552726454647
Pierre Jackson,6.0,red,10.9714285714,8.29411724974,0.766693403083
Quincy Acy,2.54054054054,purple,11.9594594595,7.71255725618,0.923627644249
Quinn Cook,13.0,red,10.575,7.03619524162,0.809685087245
R.J. Hunter,4.0,blue,0.0,,0.0
Rajon Rondo,4.0,red,25.3602941176,11.2614007202,0.922276928344
Rakeem Christmas,11.0,purple,6.59523809524,4.42735543982,0.880087892889
Ramon Sessions,3.0,red,12.352,5.61318564286,0.753796367088
Randy Foye,2.0,blue,11.7432835821,6.60259875101,0.617280155941
Rashad Vaughn,16.0,blue,9.67,7.62234238593,0.709322055846
Raul Neto,28.0,red,7.22333333333,5.6938371604,0.715366076648
Raymond Felton,12.0,red,15.02625,9.11086072925,0.670590238978
Reggie Bullock,8.0,green,10.3655172414,8.33376419247,0.619020465532
Reggie Jackson,8.0,red,24.8615384615,9.4150933028,0.890056455399
