#Date/Time of Update: 2017-03-25 2:29:25 AM,#Game Date,#Game Teams,#Player ID,#LastName,#FirstName,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Fg2PtAtt,#Fg2PtMade,#Fg3PtAtt,#Fg3PtMade,#FtAtt,#FtMade
,2017-03-24,PHI@CHI,9327,Carter-Williams,Michael,PG,89,CHI,Chicago,Bulls,4,2,3,1,2,2
,2017-03-24,MIN@LAL,9462,Casspi,Omri,SF,100,MIN,Minnesota,Timberwolves,3,1,0,0,2,2
,2017-03-24,SAC@GSW,9461,Cauley-Stein,Willie,C,103,SAC,Sacramento,Kings,6,5,0,0,2,2
,2017-03-24,DEN@IND,9188,Chandler,Wilson,F,99,DEN,Denver,Nuggets,11,7,5,3,1,1
,2017-03-24,PHX@BOS,10144,Chriss,Marquese,F,104,PHX,Phoenix,Suns,7,1,3,0,2,1
,2017-03-24,DEN@IND,9258,Christmas,Rakeem,PF,87,IND,Indiana,Pacers,0,0,0,0,0,0
,2017-03-24,SAC@GSW,9230,Clark,Ian,SG,101,GSW,Golden State,Warriors,9,5,1,0,0,0
,2017-03-24,MIN@LAL,9283,Clarkson,Jordan,SG,105,LAL,Los Angeles,Lakers,10,5,10,8,1,1
,2017-03-24,SAC@GSW,9460,Collison,Darren,PG,103,SAC,Sacramento,Kings,0,0,0,0,0,0
,2017-03-24,NOP@HOU,11981,Cook,Quinn,PG,110,NOP,New Orleans,Pelicans,0,0,0,0,0,0
,2017-03-24,NOP@HOU,9457,Cousins,DeMarcus,C,110,NOP,New Orleans,Pelicans,16,5,9,5,5,4
,2017-03-24,PHI@CHI,9420,Covington,Robert,SF,85,PHI,Philadelphia,76ers,3,2,4,0,6,5
,2017-03-24,NOP@HOU,12221,Crawford,Jordan,SG,110,NOP,New Orleans,Pelicans,4,2,6,2,2,2
,2017-03-24,PHX@BOS,9107,Crowder,Jae,SF,82,BOS,Boston,Celtics,3,2,5,2,3,3
,2017-03-24,NOP@HOU,9359,Cunningham,Dante,SF,110,NOP,New Orleans,Pelicans,0,0,1,0,0,0
,2017-03-24,SAC@GSW,9218,Curry,Stephen,PG,101,GSW,Golden State,Warriors,7,4,11,5,4,4
,2017-03-24,NOP@HOU,9354,Davis,Anthony,PF,110,NOP,New Orleans,Pelicans,23,14,1,0,6,5
,2017-03-24,NOP@HOU,9238,Dekker,Sam,SF,109,HOU,Houston,Rockets,1,0,0,0,0,0
,2017-03-24,ATL@MIL,10154,Delaney,Malcolm,G,91,ATL,Atlanta,Hawks,0,0,2,0,0,0
,2017-03-24,ATL@MIL,9166,Dellavedova,Matthew,PG,90,MIL,Milwaukee,Bucks,1,1,0,0,0,0
,2017-03-24,MIN@LAL,9340,Dieng,Gorgui,C,100,MIN,Minnesota,Timberwolves,10,6,1,0,2,2
,2017-03-24,BRO@WAS,9209,Dinwiddie,Spencer,PG,84,BRO,Brooklyn,Nets,1,0,1,0,4,1
,2017-03-24,DET@ORL,9202,Drummond,Andre,C,88,DET,Detroit,Pistons,8,3,0,0,2,0
,2017-03-24,PHX@BOS,9528,Dudley,Jared,PF,104,PHX,Phoenix,Suns,1,1,2,1,2,1
,2017-03-24,ATL@MIL,9153,Dunleavy,Mike,SF,91,ATL,Atlanta,Hawks,1,1,1,0,0,0
,2017-03-24,MIN@LAL,10129,Dunn,Kris,G,100,MIN,Minnesota,Timberwolves,7,4,5,1,0,0
,2017-03-24,PHX@BOS,9530,Eddie,Jarell,SF,104,PHX,Phoenix,Suns,0,0,0,0,0,0
,2017-03-24,DEN@IND,9253,Ellis,Monta,SG,87,IND,Indiana,Pacers,7,4,3,3,0,0
,2017-03-24,MIN@LAL,9330,Ennis,Tyler,PG,105,LAL,Los Angeles,Lakers,5,2,0,0,0,0
,2017-03-24,SAC@GSW,9356,Evans,Tyreke,SG,103,SAC,Sacramento,Kings,0,0,0,0,0,0
,2017-03-24,DEN@IND,9189,Faried,Kenneth,PF,99,DEN,Denver,Nuggets,5,3,1,0,3,3
,2017-03-24,DET@ORL,9399,Fournier,Evan,SF,95,ORL,Orlando,Magic,6,5,4,1,2,2
,2017-03-24,BRO@WAS,9391,Foye,Randy,SG,84,BRO,Brooklyn,Nets,5,3,1,0,2,2
,2017-03-24,NOP@HOU,9366,Frazier,Tim,PG,110,NOP,New Orleans,Pelicans,1,0,4,0,0,0
,2017-03-24,CLE@CHA,9159,Frye,Channing,C,86,CLE,Cleveland,Cavaliers,0,0,0,0,0,0
,2017-03-24,DEN@IND,9187,Gallinari,Danilo,SF,99,DEN,Denver,Nuggets,6,2,6,0,18,17
